NAME,DESCRIPTION,HTML_URL,WATCHERS COUNT,STARGAZERS COUNT,FORKS COUNT
cramp,Real-time web application framework in Ruby,https://github.com/lifo/cramp,,1515,131
connect-assets,A Rails-style asset pipeline for Node.js,https://github.com/js-kyle/connect-assets,,932,177
